Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
cp_partyzanka_cigarettes1,A pack of finest Partyzanka Cigarettes,,,,,,,Un pacchetto delle migliori sigarette Partyzanka.,,,,,,
cp_marijuana_cigarettes_skunk0,Marijuana Cigarettes Skunk,,,,,,,Sigarette alla marijuana Skunk,,,,,,
cp_marijuana_cigarettes_skunk1,A pack of skunk marijuana cigarettes.,,,,,,,Un pacchetto di sigarette alla marijuana Skunk.,,,,,,
cp_marijuana_cigarettes_blue_god0,Marijuana Cigarettes Blue God,,,,,,,Sigarette alla marijuana Blue God,,,,,,
cp_marijuana_cigarettes_blue_god1,A pack of Blue God marijuana cigarettes.,,,,,,,Un pacchetto di sigarette alla marijuana Blue God.,,,,,,
cp_marijuana_cigarettes_purple_kush0,Marijuana Cigarettes Purple Kush,,,,,,,Sigarette alla marijuana Purple Kush,,,,,,
cp_marijuana_cigarettes_purple_kush1,A pack of purple kush marijuana cigarettes.,,,,,,,Un pacchetto di sigarette alla marijuana Purple Kush.,,,,,,
cp_marijuana_cigarettes_stardawg0,Marijuana Cigarettes Stardawg,,,,,,,Sigarette alla marijuana Stardawg,,,,,,
cp_marijuana_cigarettes_stardawg1,A pack of Stardawg marijuana cigarettes.,,,,,,,Un pacchetto di sigarette alla marijuana Stardawg.,,,,,,
cp_marijuana_cigarettes_future0,Marijuana Cigarettes Future,,,,,,,Sigarette alla marijuana Future,,,,,,
cp_marijuana_cigarettes_future1,A pack of Future marijuana cigarettes.,,,,,,,Un pacchetto di sigarette alla marijuana Future.,,,,,,
cp_hemp_cigarettes_s10,Hemp Cigarettes S1,,,,,,,Sigarette di canapa S1,,,,,,
cp_hemp_cigarettes_s11,A pack of S1 hemp cigarettes. Sponsored by StevesGoods.com,,,,,,,Un pacchetto di sigarette di canapa S1. Offerto da StevesGoods.com.,,,,,,
cp_marijuana_cigarettes_nomad0,Marijuana Cigarettes Nomad,,,,,,,Sigarette alla marijuana Nomad,,,,,,
cp_marijuana_cigarettes_nomad1,A pack of Nomad marijuana cigarettes.,,,,,,,Un pacchetto di sigarette alla marijuana Nomad.,,,,,,
cp_marijuana_cigarettes_black_frost0,Marijuana Cigarettes Black Frost,,,,,,,Sigarette alla marijuana Black Frost,,,,,,
cp_marijuana_cigarettes_black_frost1,A pack of Black Frost marijuana cigarettes.,,,,,,,Un pacchetto di sigarette alla marijuana Black Frost.,,,,,,
cp_cigarette0,Cigarette,,,,,,,Sigaretta,,,,,,
cp_cigarette1,A Cigarette made out of good Tobacco,,,,,,,Una sigaretta fatta con tobacco di alta qualit�,,,,,,
cp_compost_bin0,Compost Bin,,,,,,,Composter,,,,,,
cp_compost_bin1,A bin for converting plant material into compost for fertilizer.,,,,,,,Un contenitore per trasformare i materiali vegetali in compost per fertilizzanti.,,,,,,
cp_compost0,Compost,,,,,,,Compost,,,,,,
cp_compost1,Composted plant material used for fertilizing.,,,,,,,Materiale vegetale compostato usato come fertilizzante.,,,,,,
cp_base_bud0,Base bud,,,,,,,Germoglio base,,,,,,
cp_base_bud1,Base bud. Used for debugging.,,,,,,,Germoglio base. Usato per il debug.,,,,,,
cp_skunk_bud0,Skunk Bud,,,,,,,Germoglio di Skunk,,,,,,
cp_skunk_bud1,Some cannabis bud. Skunk variety,,,,,,,Germoglio di cannabis. Variet�� Sk,,,,,,
cp_blue_god_bud0,Blue God Bud,,,,,,,Germoglio di Blue God,,,,,,
cp_blue_god_bud1,Some cannabis bud. Blue God variety.,,,,,,,Germoglio di cannabis. Variet�� Blue ,,,,,,
cp_purple_kush_bud0,Purple Kush Bud,,,,,,,Germoglio di Purple Kush,,,,,,
cp_purple_kush_bud1,Some cannabis bud. Purple Kush variety.,,,,,,,Germoglio di cannabis. Variet�� Purple K,,,,,,
cp_stardawg_bud0,Stardawg Bud,,,,,,,Germoglio di Stardawg,,,,,,
cp_stardawg_bud1,Some cannabis bud. Stardawg variety.,,,,,,,Germoglio di cannabis. Variet�� Stard,,,,,,
cp_future_bud0,Future Bud,,,,,,,Germoglio di Future,,,,,,
cp_future_bud1,Some cannabis bud. Future variety.,,,,,,,Germoglio di cannabis. Variet�� Fut,,,,,,
cp_s1_bud0,S1 Bud,,,,,,,Germoglio di S1,,,,,,
cp_s1_bud1,Some cannabis bud. S1 variety. Sponsored by StevesGoods.com,,,,,,,Germoglio di cannabis. Variet�� S1. Offerto da StevesGoods.,,,,,,
cp_nomad_bud0,Nomad Bud,,,,,,,Germoglio di Nomad,,,,,,
cp_nomad_bud1,Some cannabis bud. Nomad variety.,,,,,,,Germoglio di cannabis. Variet�� No,,,,,,
cp_black_frost_bud0,Black Frost Bud,,,,,,,Germoglio di Black Frost,,,,,,
cp_black_frost_bud1,Some cannabis bud. Black Frost variety.,,,,,,,Germoglio di cannabis. Variet�� Black Fr,,,,,,
cp_tobacco_leaf0,Tobacco Leaf,,,,,,,Foglia di tobacco,,,,,,
cp_tobacco_leaf1,Some tobacco leaves for rolling cigarettes,,,,,,,Foglie di tobacco per arrotolare sigarette.,,,,,,
cp_dry_post_kit0,Drying Post Kit,,,,,,,Kit per supporto di essiccazione,,,,,,
cp_dry_post_kit1,Used to place a drying post.,,,,,,,Utilizzato per posizionare un supporto di essiccazione.,,,,,,
cp_drying_post0,Drying Post,,,,,,,Supporto di essiccazione,,,,,,
cp_drying_post1,A post for drying cannabis and other plants.,,,,,,,Un supporto per essiccare cannabis e altre piante.,,,,,,
cp_plant_base0,Plant Base,,,,,,,Base della pianta,,,,,,
cp_plant_base1,Plant Base. Only for debugging.,,,,,,,Base della pianta. Usato solo per il debug.,,,,,,
cp_dried_plant0,Dried Plant,,,,,,,Pianta essiccata,,,,,,
cp_dried_plant1,A Dried up Cannabis plant with all the buds picked off.,,,,,,,Una pianta di cannabis essiccata con tutti i germogli rimossi.,,,,,,
cp_raw_skunk_plant0,Raw Skunk Plant,,,,,,,Pianta di Skunk,,,,,,
cp_raw_skunk_plant1,A raw Skunk plant,,,,,,,Una pianta di Skunk fresca.,,,,,,
cp_raw_blue_god_plant0,Raw Blue God Plant,,,,,,,Pianta di Blue God,,,,,,
cp_raw_blue_god_plant1,A raw Blue God plant,,,,,,,Una pianta di Blue God fresca.,,,,,,
cp_raw_kush_plant0,Raw Kush Plant,,,,,,,Pianta di Kush,,,,,,
cp_raw_kush_plant1,A raw Kush plant,,,,,,,Una pianta di Kush fresca.,,,,,,
cp_raw_stardawg_plant0,Raw Stardawg Plant,,,,,,,Pianta di Stardawg,,,,,,
cp_raw_stardawg_plant1,A raw Stardawg plant,,,,,,,Una pianta di Stardawg fresca.,,,,,,
cp_raw_future_plant0,Raw Future Plant,,,,,,,Pianta di Future,,,,,,
cp_raw_future_plant1,A raw Future plant,,,,,,,Una pianta di Future fresca.,,,,,,
cp_raw_nomad_plant0,Raw Nomad Plant,,,,,,,Pianta di Nomad,,,,,,
cp_raw_nomad_plant1,A raw Nomad plant,,,,,,,Una pianta di Nomad fresca.,,,,,,
cp_raw_s1_plant0,Raw S1 Plant,,,,,,,Pianta di S1,,,,,,
cp_raw_s1_plant1,A raw S1 plant,,,,,,,Una pianta di S1 fresca.,,,,,,
cp_raw_black_frost_plant0,Raw Black Frost Plant,,,,,,,Pianta di Black Frost,,,,,,
cp_raw_black_frost_plant1,A raw Black Frost plant,,,,,,,Una pianta di Black Frost fresca.,,,,,,
cp_joint_base0,Joint Base,,,,,,,Base del joint,,,,,,
cp_joint_base1,A joint made out of finest weed. Only fo debugging.,,,,,,,Un joint fatto con la migliore erba. Solo per il debug.,,,,,,
cp_skunk_joint0,Skunk Joint,,,,,,,Joint di Skunk,,,,,,
cp_skunk_joint1,A joint made out of finest Skunk weed,,,,,,,Un joint fatto con la migliore erba Skunk.,,,,,,
cp_blue_god_joint0,Blue God Joint,,,,,,,Joint di Blue God,,,,,,
cp_blue_god_joint1,A joint made out of finest Blue God weed,,,,,,,Un joint fatto con la migliore erba Blue God.,,,,,,
cp_purple_kush_joint0,Purple Kush Joint,,,,,,,Joint di Purple Kush,,,,,,
cp_purple_kush_joint1,A joint made out of finest Purple Kush weed,,,,,,,Un joint fatto con la migliore erba Purple Kush.,,,,,,
cp_stardawg_joint0,Stardawg Joint,,,,,,,Joint di Stardawg,,,,,,
cp_stardawg_joint1,A joint made out of finest Stardawg weed,,,,,,,Un joint fatto con la migliore erba Stardawg.,,,,,,
cp_future_joint0,Future Joint,,,,,,,Joint di Future,,,,,,
cp_future_joint1,A joint made out of finest Future weed,,,,,,,Un joint fatto con la migliore erba Future.,,,,,,
cp_s1_joint0,S1 Joint,,,,,,,Joint di S1,,,,,,
cp_s1_joint1,A joint made out of the finest S1 hemp.  Sponsored by StevesGoods.com,,,,,,,Un joint fatto con la migliore canapa S1. Offerto da StevesGoods.com.,,,,,,
cp_nomad_joint0,Nomad Joint,,,,,,,Joint di Nomad,,,,,,
cp_nomad_joint1,A joint made out of finest Nomad weed,,,,,,,Un joint fatto con la migliore erba Nomad.,,,,,,
cp_blackfrost_joint0,BlackFrost Joint,,,,,,,Joint di BlackFrost,,,,,,
cp_blackfrost_joint1,A joint made out of finest BlackFrost weed,,,,,,,Un joint fatto con la migliore erba BlackFrost.,,,,,,
cp_skunk_plant0,Skunk Plant,,,,,,,Pianta di Skunk,,,,,,
cp_skunk_plant1,A Skunk plant.,,,,,,,Una pianta di Skunk.,,,,,,
cp_blue_god_plant0,Blue God Plant,,,,,,,Pianta di Blue God,,,,,,
cp_blue_god_plant1,A Blue God plant.,,,,,,,Una pianta di Blue God.,,,,,,
cp_purple_kush_plant0,Purple Kush Plant,,,,,,,Pianta di Purple Kush,,,,,,
cp_purple_kush_plant1,A Purple Kush plant.,,,,,,,Una pianta di Purple Kush.,,,,,,
cp_stardawg_plant0,Stardawg Plant,,,,,,,Pianta di Stardawg,,,,,,
cp_stardawg_plant1,A Stardawg plant.,,,,,,,Una pianta di Stardawg.,,,,,,
cp_future_plant0,Future Plant,,,,,,,Pianta di Future,,,,,,
cp_future_plant1,A Future plant.,,,,,,,Una pianta di Future.,,,,,,
cp_s1_hemp_plant0,S1 Hemp Plant,,,,,,,Pianta di Canapa S1,,,,,,
cp_s1_hemp_plant1,An S1 hemp plant. Sponsored by StevesGoods.com,,,,,,,Una pianta di canapa S1. Offerto da StevesGoods.com.,,,,,,
cp_nomad_plant0,Nomad Plant,,,,,,,Pianta di Nomad,,,,,,
cp_nomad_plant1,A Nomad plant.,,,,,,,Una pianta di Nomad.,,,,,,
cp_black_frost_plant0,Black Frost Plant,,,,,,,Pianta di Black Frost,,,,,,
cp_black_frost_plant1,A Black Frost plant.,,,,,,,Una pianta di Black Frost.,,,,,,
cp_tobacco_plant0,Tobacco Plant,,,,,,,Pianta di Tabacco,,,,,,
cp_tobacco_plant1,A tobacco plant.,,,,,,,Una pianta di tobacco.,,,,,,
cp_shrink_wrapper0,Shrink Wrapper,,,,,,,Macchina per confezionamento in film termoretraibile,,,,,,
cp_shrink_wrapper1,A shrink wrapper for wrapping your favourite sandwiches.. and perhaps other things.,,,,,,,Una macchina per confezionare i tuoi panini preferiti... e forse altre cose.,,,,,,
cp_plastic_wrap0,Plastic Wrap,,,,,,,Pellicola trasparente,,,,,,
cp_plastic_wrap1,A roll of plastic wrap. Can be used with a wrapping machine.,,,,,,,Un rotolo di pellicola trasparente. Pu�� essere utilizzato con una macchina per confezioname,,,,,,
cp_cannabis_pouch0,Cannabis Pouch,,,,,,,Borsa per cannabis,,,,,,
cp_cannabis_pouch1,Storage for your paraphernalia,,,,,,,Contenitore per i tuoi accessori.,,,,,,
cp_pouch_attachments0,Pouch Attachments,,,,,,,Accessori per sacche,,,,,,
cp_pouch_attachments1,,,,,,,,,,,,,,
cp_joint0,Joint,,,,,,,Joint,,,,,,
cp_rolling_papers0,Rolling Papers,,,,,,,Cartine per rollare,,,,,,
cp_fizla_rolling_papers0,Fizla Rolling Papers,,,,,,,Cartine Fizla,,,,,,
cp_fizla_rolling_papers1,A pack of Fizla Original rolling papers,,,,,,,Un pacchetto di cartine Fizla Original.,,,,,,
cp_fizla_rolling_papers2,A pack of Fizla Slimline rolling papers,,,,,,,Un pacchetto di cartine Fizla Slimline,,,,,,
cp_fizla_rolling_papers3,A pack of Fizla Super Thin rolling papers,,,,,,,Un pacchetto di cartine Fizla Super Thin,,,,,,
cp_skunk_cannabis_seeds0,Skunk Cannabis Seeds,,,,,,,Semi di cannabis Skunk,,,,,,
cp_skunk_cannabis_seeds1,A handful of Skunk cannabis seeds.,,,,,,,Una manciata di semi di cannabis Skunk.,,,,,,
cp_blue_god_cannabis_seeds0,Blue God Cannabis Seeds,,,,,,,Semi di cannabis Blue God,,,,,,
cp_blue_god_cannabis_seeds1,A handful of Blue God cannabis seeds.,,,,,,,Una manciata di semi di cannabis Blue God.,,,,,,
cp_purple_kush_cannabis_seeds0,Purple Kush Cannabis Seeds,,,,,,,Semi di cannabis Purple Kush,,,,,,
cp_purple_kush_cannabis_seeds1,A handful of Purple Kush cannabis seeds.,,,,,,,Una manciata di semi di cannabis Purple Kush.,,,,,,
cp_stardawg_cannabis_seeds0,Stardawg Cannabis Seeds,,,,,,,Semi di cannabis Stardawg,,,,,,
cp_stardawg_cannabis_seeds1,A handful of Stardawg cannabis seeds.,,,,,,,Una manciata di semi di cannabis Stardawg.,,,,,,
cp_future_cannabis_seeds0,Future Cannabis Seeds,,,,,,,Semi di cannabis Future,,,,,,
cp_future_cannabis_seeds1,A handful of Future cannabis seeds.,,,,,,,Una manciata di semi di cannabis Future.,,,,,,
cp_s1_cannabis_seeds0,S1 Cannabis Seeds,,,,,,,Semi di cannabis S1,,,,,,
cp_s1_cannabis_seeds1,A handful of S1 cannabis seeds. Sponsored by StevesGoods.com,,,,,,,Una manciata di semi di cannabis S1. Offerto da StevesGoods.com.,,,,,,
cp_nomad_cannabis_seeds0,Nomad Cannabis Seeds,,,,,,,Semi di cannabis Nomad,,,,,,
cp_nomad_cannabis_seeds1,A handful of Nomad cannabis seeds.,,,,,,,Una manciata di semi di cannabis Nomad.,,,,,,
cp_blackfrost_cannabis_seeds0,BlackFrost Cannabis Seeds,,,,,,,Semi di cannabis BlackFrost,,,,,,
cp_blackfrost_cannabis_seeds1,A handful of BlackFrost cannabis seeds.,,,,,,,Una manciata di semi di cannabis BlackFrost.,,,,,,
cp_tobacco_seeds0,Tobacco Seeds,,,,,,,Semi di tobacco,,,,,,
cp_tobacco_seeds1,A handful of tobacco seeds.,,,,,,,Una manciata di semi di tobacco.,,,,,,
cp_packed_cannabis_skunk_seeds0,Packed Cannabis Skunk Seeds,,,,,,,Semi di cannabis Skunk confezionati,,,,,,
cp_packed_cannabis_skunk_seeds1,A package of Skunk cannabis seeds.,,,,,,,Un pacchetto di semi di cannabis Skunk.,,,,,,
cp_empty_seeds_pack0,Empty Seeds Pack,,,,,,,Confezione vuota per semi,,,,,,
cp_empty_seeds_pack1,A Empty Seeds Pack,,,,,,,Una confezione vuota per semi.,,,,,,
cp_packed_blue_god_cannabis_seeds0,Packed Blue God Cannabis Seeds,,,,,,,Semi di cannabis Blue God confezionati,,,,,,
cp_packed_blue_god_cannabis_seeds1,A package of Blue God cannabis seeds.,,,,,,,Un pacchetto di semi di cannabis Blue God.,,,,,,
cp_packed_purple_kush_cannabis_seeds0,Packed Purple Kush Cannabis Seeds,,,,,,,Semi di cannabis Purple Kush confezionati,,,,,,
cp_packed_purple_kush_cannabis_seeds1,A package of Purple Kush cannabis seeds.,,,,,,,Un pacchetto di semi di cannabis Purple Kush.,,,,,,
cp_packed_cannabis_stardawg_seeds0,Packed Cannabis Stardawg Seeds,,,,,,,Semi di cannabis Stardawg confezionati,,,,,,
cp_packed_cannabis_stardawg_seeds1,A package of Stardawg cannabis seeds.,,,,,,,Un pacchetto di semi di cannabis Stardawg.,,,,,,
cp_packed_cannabis_future_seeds0,Packed Cannabis Future Seeds,,,,,,,Semi di cannabis Future confezionati,,,,,,
cp_packed_cannabis_future_seeds1,A package of Future cannabis seeds.,,,,,,,Un pacchetto di semi di cannabis Future.,,,,,,
cp_packed_s1_hemp_seeds0,Packed S1 Hemp Seeds,,,,,,,Semi di canapa S1 confezionati,,,,,,
cp_packed_s1_hemp_seeds1,A package of S1 hemp seeds. Sponsored by StevesGoods.com,,,,,,,Un pacchetto di semi di canapa S1. Offerto da StevesGoods.com.,,,,,,
cp_packed_cannabis_nomad0,Packed Cannabis Nomad Seeds,,,,,,,Semi di cannabis Nomad confezionati,,,,,,
cp_packed_cannabis_nomad1,A package of Nomad cannabis seeds.,,,,,,,Un pacchetto di semi di cannabis Nomad.,,,,,,
cp_packed_cannabis_blackfrost_seeds0,Packed Cannabis BlackFrost Seeds,,,,,,,Semi di cannabis BlackFrost confezionati,,,,,,
cp_packed_cannabis_blackfrost_seeds1,A package of BlackFrost cannabis seeds.,,,,,,,Un pacchetto di semi di cannabis BlackFrost.,,,,,,
cp_packed_tobacco_seeds0,Packed Tobacco Seeds,,,,,,,Semi di tobacco confezionati,,,,,,
cp_packed_tobacco_seeds1,A package of tobacco seeds.,,,,,,,Un pacchetto di semi di tobacco.,,,,,,
cp_cannabis_workbench_kit0,Cannabis Workbench Kit,,,,,,,Kit da banco da lavoro per cannabis,,,,,,
cp_cannabis_workbench_kit1,A cannabis workbench kit for packaging your favourite strains.,,,,,,,Un kit da banco da lavoro per confezionare le tue variet�� prefer,,,,,,
cp_cannabis_workbench0,Cannabis Workbench,,,,,,,Banco da lavoro per cannabis,,,,,,
cp_cannabis_workbench1,A cannabis workbench for packaging your favourite strains.,,,,,,,Un banco da lavoro per confezionare le tue variet�� prefer,,,,,,
cp_leave_to_dry,Leave to Dry,,,,,,,Lascia asciugare,,,,,,
cp_apply_cream,Apply Cream,,,,,,,Applicare la crema,,,,,,
cp_unpack,Unpack,,,,,,,Scartare,,,,,,
cp_stop_processing,Stop Processing,,,,,,,Interrompere l'elaborazione,,,,,,
cp_smoke,Smoke,,,,,,,Fuma,,,,,,
cp_smoke_joint,Smoke,,,,,,,Fuma,,,,,,
cp_unwrap,Unwrap,,,,,,,Scartare,,,,,,
cp_pause_production,Pause Production,,,,,,,Mettere in pausa la produzione,,,,,,
cp_resume_production,Resume Production,,,,,,,Riprendere la produzione,,,,,,
cp_fill_bag_with,Fill bag with,,,,,,,Riempi la borsa con,,,,,,
cp_wrap,Wrap,,,,,,,Avvolgere,,,,,,
